CGI;202203090000;6.5
CGI;202203090010;6.8
CGI;202203090020;9.4
CGI;202203090030;9.7
CGI;202203090040;8.3
CGI;202203090050;6.5
CGI;202203090100;5.8
CGI;202203090110;5.8
CGI;202203090120;6.5
CGI;202203090130;6.1
CGI;202203090140;6.5
CGI;202203090150;5.4
CGI;202203090200;6.5
CGI;202203090210;8.6
CGI;202203090220;9.0
CGI;202203090230;10.1
CGI;202203090240;9.7
CGI;202203090250;9.4
CGI;202203090300;6.8
CGI;202203090310;6.1
CGI;202203090320;5.8
CGI;202203090330;6.5
CGI;202203090340;5.4
CGI;202203090350;4.7
CGI;202203090400;1.8
CGI;202203090410;2.5
CGI;202203090420;6.1
CGI;202203090430;7.6
CGI;202203090440;8.3
CGI;202203090450;8.3
CGI;202203090500;6.1
CGI;202203090510;4.3
CGI;202203090520;3.2
CGI;202203090530;4.7
CGI;202203090540;4.3
CGI;202203090550;5.0
CGI;202203090600;5.4
CGI;202203090610;4.0
CGI;202203090620;5.0
CGI;202203090630;5.8
CGI;202203090640;5.4
CGI;202203090650;4.0
CGI;202203090700;2.5
CGI;202203090710;0.4
CGI;202203090720;0.0
CGI;202203090730;0.0
CGI;202203090740;0.0
CGI;202203090750;2.5
CGI;202203090800;3.6
CGI;202203090810;3.2
CGI;202203090820;3.6
CGI;202203090830;2.5
CGI;202203090840;1.8
CGI;202203090850;1.4
CGI;202203090900;1.4
CGI;202203090910;2.5
CGI;202203090920;2.5
CGI;202203090930;2.2
CGI;202203090940;3.2
CGI;202203090950;4.3
CGI;202203091000;4.7
CGI;202203091010;7.2
CGI;202203091020;6.8
CGI;202203091030;5.4
CGI;202203091040;6.8
CGI;202203091050;7.2
CGI;202203091100;8.6
CGI;202203091110;8.3
CGI;202203091120;8.3
CGI;202203091130;7.6
CGI;202203091140;7.6
CGI;202203091150;6.8
CGI;202203091200;6.8
CGI;202203091210;6.1
CGI;202203091220;6.1
CGI;202203091230;7.2
CGI;202203091240;7.6
CGI;202203091250;7.9
CGI;202203091300;4.7
CGI;202203091310;5.0
CGI;202203091320;6.8
CGI;202203091330;6.8
CGI;202203091340;6.8
CGI;202203091350;5.8
CGI;202203091400;4.0
CGI;202203091410;2.5
CGI;202203091420;2.5
CGI;202203091430;3.6
CGI;202203091440;2.5
CGI;202203091450;2.5
CGI;202203091500;3.2
CGI;202203091510;6.1
CGI;202203091520;6.5
CGI;202203091530;4.7
CGI;202203091540;3.6
CGI;202203091550;3.6
CGI;202203091600;4.3
CGI;202203091610;4.3
CGI;202203091620;3.6
CGI;202203091630;3.2
CGI;202203091640;2.9
CGI;202203091650;3.2
